echo sha,contributor,date,message
0ed50864f,Francois Cheminade,Wed Nov 6 09:45:05 2024 +0100,snake notation in the filename of Statistics_to_json
86c2d4579,Francois Cheminade,Mon Nov 4 11:23:00 2024 +0100,Add AFF3CT_JSON building option (default OFF)
01c0384eb,Francois Cheminade,Thu Oct 31 15:45:19 2024 +0100,Introduce last Merge from trunk.
d2dcfe9db,Francois Cheminade,Thu Oct 31 14:37:00 2024 +0100,In StreamPU, snake notation and no  camel. StatisticsToJson -> Statistics_to_json
4312bb073,Francois Cheminade,Mon Oct 28 15:03:44 2024 +0100,CI : build-linux-icpc #1 - wget -qO - https://repositories.intel.com/gpu/intel-graphics.key | gpg --yes --dearmor --output /usr/share/keyrings/intel-graphics-archive-keyring.gpg
19c6cc20c,Francois Cheminade,Mon Oct 21 17:50:23 2024 +0200,Add condition export_json=true for json export.
b61cf4bd3,Francois Cheminade,Mon Oct 21 17:47:14 2024 +0200,CI : Try using MSYS2     - if (Test-Path build){Remove-Item -Force -Recurse build-msys2}     - bash.exe -lc "Start menu/MSYS2/MSYS2 MINGW64"     - bash.exe -lc "pacman -S mingw-w64-i686-nlohmann-json"
7dc2ebda8,Francois Cheminade,Fri Oct 18 15:17:45 2024 +0200,Update .gitlab-ci.yml file building jsonlibrary  directly from sources for build-linux-icpc (deprecated)
0db433794,Francois Cheminade,Fri Oct 18 14:35:56 2024 +0200,Cmake add library requirement find_package(nlohmann_json REQUIRED) aff3ct_target_link_libraries(PRIVATE nlohmann_json::nlohmann_json)
494c2cc88,Francois Cheminade,Mon Oct 14 10:02:50 2024 +0200,Add a  condition for option --term-no to activate collection of throughput and latency which remains at 0 in this case.
e556fa250,CHEMINADE Francois,Wed Oct 9 14:44:35 2024 +0200,Update .gitlab-ci.yml file - apt-get install -y nlohmann-json3-dev
75ce2a34b,Francois Cheminade,Wed Oct 9 14:38:34 2024 +0200,Statistictojson declaration in streampu.hpp
3a78ab23b,Francois Cheminade,Tue Oct 8 15:13:56 2024 +0200,add collecting "mutual information"
6fc379b3c,CHEMINADE Francois,Tue Oct 8 14:19:28 2024 +0200,Update .gitlab-ci.yml file add apt-get install -y nlohmann-json3-dev
1837c80d7,Francois Cheminade,Tue Oct 8 11:34:01 2024 +0200,The run showed with option --term-no thebellow  titles at each run. That's ended.
