echo sha,contributor,date,message
75361e7,Francois Cheminade,Wed Nov 6 09:15:15 2024 +0100,snake notation in filename of Statistics_to_json
6441745,Francois Cheminade,Tue Nov 5 15:30:11 2024 +0100,Makefile : Add message(STATUS "StreamPU - Json Statistics allowed requiring nlohman library: ${SPU_JSON_STATS}")
4f645b3,Francois Cheminade,Mon Nov 4 14:39:00 2024 +0100,closes #4
a294943,Francois Cheminade,Thu Oct 31 16:16:08 2024 +0100,Add optional building for Json export to cover embarked case. and CI: Add SPU_JSON_STATS=ON at build tests.
01dd612,Francois Cheminade,Thu Oct 31 14:36:53 2024 +0100,Snake notation (no camel) : StatisticsToJson -> Statistics_to_json
2bbd6b4,Francois Cheminade,Tue Oct 29 15:56:08 2024 +0100,CI : build-linux-icpc Levé du bug dans build-linux-icpc du intel/hpckit qui ne parvient pas à trouver le dépot, afin de permettre un déploiement industriel - wget -qO - https://repositories.intel.com/gpu/intel-graphics.key | gpg --yes --dearmor --output /usr/share/keyrings/intel-graphics-archive-keyring.gpg
cb643cd,Francois Cheminade,Fri Oct 18 16:51:10 2024 +0200,Mise en place de la dépendance Nlohmann au niveau des tests
c723859,CHEMINADE Francois,Wed Oct 9 14:29:08 2024 +0200,Declaration de StatisticToJson dans streampu.hpp
b435dd0,CHEMINADE Francois,Tue Oct 8 14:23:00 2024 +0200,Update .gitlab-ci.yml file add apt-get install -y nlohmann-json3-dev and cache
d16df29,Francois Cheminade,Wed Oct 2 10:37:13 2024 +0200,Récupération des statistiques des taches
91f9d7f,Adrien Cassagne,Fri Jul 26 18:48:18 2024 +0200,Try to fix MSVC compilation (again).
ab1ed52,Adrien Cassagne,Fri Jul 26 16:41:09 2024 +0200,Try to fix MSVC compilation error.
be8df53,Adrien Cassagne,Fri Jul 26 12:24:30 2024 +0200,Introduce a new 'Module::Stateful' class.
58a56ac,Adrien Cassagne,Thu Jul 25 16:59:00 2024 +0200,Improve replicability management and interfaces.
bb7590b,Adrien Cassagne,Tue Jul 23 20:48:58 2024 +0200,Add replicability info on the tasks.
f8f0bf1,Adrien Cassagne,Tue Jul 23 13:08:44 2024 +0200,CI: Fix mem leak + Add param to select n_execs during profiling.
ee6ed05,Adrien Cassagne,Tue Jul 23 12:48:34 2024 +0200,Cosmetics.
ce42575,Adrien Cassagne,Tue Jul 23 12:38:46 2024 +0200,Enable pinning policy to be combined with scheduling.
003a766,Adrien Cassagne,Tue Jul 23 11:45:27 2024 +0200,Schedulers: Reinforce stages creation + add simple threads mapping.
0262034,Adrien Cassagne,Tue Jul 23 09:41:17 2024 +0200,Doc: Add 'generic-pipeline' verbose CLI param.
3b3f428,Adrien Cassagne,Tue Jul 23 09:35:45 2024 +0200,Improve schedulers interface & error management.
4dffa2f,Adrien Cassagne,Mon Jul 22 10:11:11 2024 +0200,Update scheduler interfaces.
442e2a0,Adrien Cassagne,Sat Jul 20 12:04:51 2024 +0200,Refactor the schedulers code to better adapt to new schedulers.
